0,720,0,0,0,0,0,0,0,0,0
0,528,24,24,0,0,0,0,0,0,0
0,360,36,36,0,0,0,0,0,0,0
0,216,36,36,0,0,0,0,0,0,0
0,96,24,24,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,360,36,36,0,0,0,0,0,0,0
4,244,38,38,4,4,0,0,0,0,0
8,146,32,32,6,6,2,0,0,0,0
12,66,18,18,6,6,6,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
8,144,32,32,8,8,0,0,0,0,0
16,86,24,24,10,10,6,0,0,0,0
24,40,12,12,8,8,8,8,0,0,0
0,0,0,0,0,0,0,0,0,0,0
24,36,12,12,12,12,12,0,0,0,0
36,18,6,6,6,6,6,24,0,0,0
0,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,48,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,216,36,36,0,0,0,0,0,0,0
8,146,32,32,6,6,2,0,0,0,0
16,88,24,24,8,8,8,0,0,0,0
8,38,14,14,2,4,6,0,2,0,0
0,0,0,0,0,0,0,0,0,0,0
16,86,24,24,10,10,6,0,0,0,0
16,50,17,17,9,9,4,0,0,3,3
16,22,9,9,5,6,6,4,1,1,1
0,0,0,0,0,0,0,0,0,0,0
16,20,8,8,8,8,4,0,0,4,4
24,10,4,4,4,4,2,16,0,2,2
0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,32,0,0,0
0,0,0,0,0,0,0,0,0,0,0
24,36,12,12,12,12,12,0,0,0,0
16,20,8,8,8,8,4,0,0,4,4
8,8,4,4,2,4,4,0,2,2,2
0,0,0,0,0,0,0,0,0,0,0
8,8,4,4,4,4,0,0,0,4,4
12,4,2,2,2,2,0,8,0,2,2
0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,16,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,96,24,24,0,0,0,0,0,0,0
12,66,18,18,6,6,6,0,0,0,0
8,38,14,14,2,4,6,0,2,0,0
4,16,8,8,0,2,4,0,2,0,0
0,0,0,0,0,0,0,0,0,0,0
24,40,12,12,8,8,8,8,0,0,0
16,22,9,9,5,6,6,4,1,1,1
8,8,4,4,2,4,4,0,2,2,2
0,0,0,0,0,0,0,0,0,0,0
8,8,4,4,2,4,4,0,2,2,2
12,4,2,2,1,2,2,8,1,1,1
0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,16,0,0,0
0,0,0,0,0,0,0,0,0,0,0
36,18,6,6,6,6,6,24,0,0,0
24,10,4,4,4,4,2,16,0,2,2
12,4,2,2,1,2,2,8,1,1,1
0,0,0,0,0,0,0,0,0,0,0
12,4,2,2,2,2,0,8,0,2,2
10,2,1,1,1,1,0,8,0,1,1
0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,8,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,48,0,0,0
32,0,0,0,0,0,0,32,0,0,0
16,0,0,0,0,0,0,16,0,0,0
0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,16,0,0,0
8,0,0,0,0,0,0,8,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
