i1;i2;i3;i4;i5;i6;i7;i8;i9;only l3 correct;only l+3 correct;both correct;only l+3 correct (1);only l+3 correct (2);only l+3 correct (3);only l+3 correct (4)
7;8;8;8;8;9;9;9;9;23040;23040;93600;0;1440;9408;12192
6;6;6;6;7;8;9;9;9;5640;3336;5304;0;1824;216;1296
5;6;6;8;8;9;9;9;9;9600;8736;22368;0;3240;1816;3680
2;4;5;5;6;8;8;9;9;92;20;52;10;4;0;6
5;6;6;7;7;8;8;9;9;3816;2952;2232;72;1152;40;1688
3;3;4;6;8;8;9;9;9;872;152;280;8;48;48;48
5;6;8;8;9;9;9;9;9;13200;12912;56208;0;4248;4488;4176
2;4;4;6;6;8;9;9;9;184;40;104;16;16;0;8
3;6;6;6;7;7;8;9;9;1072;496;368;16;392;8;80
3;4;4;5;7;8;9;9;9;308;92;196;4;32;24;32
3;6;6;6;6;7;9;9;9;1648;208;656;16;104;8;80
2;3;7;8;8;8;8;9;9;672;528;336;72;48;0;408
3;5;5;5;8;9;9;9;9;1116;468;1476;36;216;36;180
3;4;7;7;7;9;9;9;9;2512;1864;3320;128;920;116;700
3;4;4;8;9;9;9;9;9;3072;768;2688;0;384;0;384
2;7;7;8;8;9;9;9;9;3912;3696;9264;264;1464;828;1140
4;5;5;7;7;9;9;9;9;2816;1736;4096;16;872;96;752
4;5;7;7;7;9;9;9;9;5040;3960;7704;88;1968;248;1656
5;5;8;9;9;9;9;9;9;11280;11064;53736;0;5112;2784;3168
5;7;7;8;8;8;9;9;9;13944;13584;20976;252;3264;3036;7032
3;4;7;8;8;9;9;9;9;3922;3058;7310;112;1080;698;1168
5;7;8;8;8;8;9;9;9;16428;16248;26952;366;2640;4122;9120
5;5;8;8;9;9;9;9;9;11040;10608;41232;0;4176;2832;3600
2;6;6;7;8;9;9;9;9;2290;1858;3974;154;884;262;558
3;3;6;6;6;7;9;9;9;424;64;152;8;32;0;24
4;4;6;6;7;8;8;9;9;1064;632;664;48;232;12;340
3;4;6;7;7;9;9;9;9;2080;1324;2564;80;660;86;498
6;6;6;6;7;7;9;9;9;5280;2400;1920;0;1920;0;480
5;5;7;7;7;7;8;9;9;2340;1908;684;36;1584;24;264
4;5;5;6;6;8;9;9;9;1160;296;1000;8;144;8;136
2;4;4;5;7;7;9;9;9;116;44;28;8;32;0;4
2;3;6;7;9;9;9;9;9;1184;536;1408;24;240;56;216
4;5;7;7;8;9;9;9;9;6260;5180;12316;44;2100;944;2092
5;5;6;6;8;8;9;9;9;4488;3192;4584;24;1488;512;1168
4;6;6;6;8;9;9;9;9;4872;3576;8088;12;1644;372;1548
6;6;6;6;6;8;8;9;9;2040;600;1560;120;120;0;360
2;3;6;8;8;8;9;9;9;948;516;780;36;120;144;216
2;5;5;8;9;9;9;9;9;2118;1362;3822;156;720;108;378
5;6;6;6;6;9;9;9;9;2880;1152;4032;0;576;0;576
3;4;4;8;8;8;8;9;9;1104;528;336;72;48;0;408
2;5;5;8;8;8;9;9;9;1516;1084;1508;148;336;252;348
2;3;5;7;9;9;9;9;9;1204;340;956;12;156;28;144
4;6;7;7;8;8;9;9;9;7360;6496;9056;152;2352;1264;2728
4;5;5;5;6;8;9;9;9;576;144;504;0;72;0;72
5;6;6;7;8;9;9;9;9;8040;6960;16368;0;2916;1048;2996
2;6;7;8;8;8;9;9;9;3234;2730;4182;228;804;630;1068
2;6;7;8;8;8;8;9;9;2484;2232;1224;288;282;0;1662
4;5;7;8;8;9;9;9;9;7378;6514;16814;76;2340;1554;2544
5;6;7;8;8;9;9;9;9;11640;10992;30480;0;3528;2856;4608
3;5;5;5;6;7;9;9;9;412;52;164;4;24;4;20
3;6;9;9;9;9;9;9;9;7920;7920;43920;0;4644;1476;1800
3;4;5;7;7;9;9;9;9;1648;784;1808;32;400;56;296
2;4;4;7;9;9;9;9;9;1152;288;1008;72;144;0;72
3;6;8;9;9;9;9;9;9;7800;7512;35688;0;3876;1608;2028
4;5;6;7;7;7;8;9;9;1484;998;460;24;814;15;145
4;5;5;9;9;9;9;9;9;6000;4704;14736;0;2544;240;1920
2;3;4;5;7;9;9;9;9;204;24;84;0;12;0;12
2;6;6;9;9;9;9;9;9;3384;2952;10008;216;1692;288;756
4;5;6;7;7;7;9;9;9;2968;1996;920;48;1628;30;290
4;4;5;7;8;8;8;9;9;1532;1100;844;156;180;12;752
2;7;9;9;9;9;9;9;9;4800;4800;27600;0;3600;0;1200
2;3;6;6;6;8;9;9;9;208;64;152;8;32;0;24
3;3;4;6;8;9;9;9;9;1248;168;480;4;68;24;72
2;6;7;7;7;7;8;9;9;792;648;216;24;552;0;72
2;4;7;8;8;8;9;9;9;1798;1438;2018;112;368;330;628
4;5;5;6;8;9;9;9;9;2704;1624;4208;4;764;132;724
3;4;4;5;8;8;9;9;9;440;152;280;8;48;48;48
6;6;7;7;7;7;8;9;9;3840;3120;1200;0;2640;0;480
2;3;7;7;7;7;9;9;9;408;336;96;12;276;0;48
3;3;8;9;9;9;9;9;9;3120;2400;8400;0;1200;0;1200
3;7;7;8;8;9;9;9;9;7512;7080;18840;264;2304;1968;2544
4;6;6;6;8;8;8;9;9;2952;2304;1584;384;384;36;1500
5;5;6;6;7;7;9;9;9;3192;1464;1128;24;1152;16;272
6;6;7;7;8;8;8;9;9;8880;8448;4512;336;1776;72;6264
4;6;6;6;8;8;9;9;9;4488;3192;4584;24;1488;528;1152
2;4;6;6;8;9;9;9;9;1216;568;1376;56;280;64;168
2;7;8;8;9;9;9;9;9;4608;4464;17136;192;2208;936;1128
4;4;6;6;6;8;8;9;9;620;188;460;60;36;4;88
2;9;9;9;9;9;9;9;9;5040;5040;40320;0;5040;0;0
3;3;6;6;8;8;9;9;9;1000;568;728;40;240;104;184
5;6;6;6;6;7;8;9;9;1632;192;672;0;96;0;96
6;6;7;7;7;8;9;9;9;9240;8088;9192;0;4512;612;2964
5;6;7;7;7;7;8;9;9;3090;2514;942;18;2112;18;366
6;6;8;8;9;9;9;9;9;15360;15216;71184;0;4320;5760;5136
3;3;6;6;6;7;8;9;9;212;32;76;4;16;0;12
2;5;5;5;7;7;8;9;9;140;68;40;10;50;0;8
5;6;6;6;7;7;9;9;9;4236;1932;1524;12;1536;12;372
4;7;8;8;8;8;8;9;9;11052;10836;5364;828;732;96;9180
2;4;4;7;8;8;9;9;9;680;248;400;52;64;72;60
4;5;5;6;8;8;9;9;9;2384;1520;2368;32;640;328;520
6;7;7;7;8;8;8;9;9;10920;10704;5496;168;2328;48;8160
5;6;7;7;7;9;9;9;9;8280;7200;13536;0;3600;312;3288
2;4;5;7;7;9;9;9;9;836;404;892;40;224;16;124
3;4;4;6;8;8;8;9;9;512;224;208;32;32;0;160
2;4;7;8;8;8;8;9;9;1284;1104;624;144;126;0;834
2;7;7;7;9;9;9;9;9;3672;3456;9504;264;1752;504;936
2;5;5;5;9;9;9;9;9;768;336;960;48;192;0;96
2;3;6;7;8;8;8;9;9;454;292;194;36;56;0;200
2;5;5;6;8;9;9;9;9;1010;578;1366;64;308;40;166
2;6;9;9;9;9;9;9;9;4320;4320;21600;0;2880;0;1440
2;4;5;6;6;7;9;9;9;290;38;106;6;20;0;12
6;6;6;6;6;7;8;9;9;2040;240;840;0;120;0;120
5;5;6;8;9;9;9;9;9;8400;7536;23568;0;3384;1280;2872
3;4;5;6;6;8;9;9;9;576;144;432;16;64;8;56
3;3;4;7;7;7;8;9;9;260;80;28;4;64;0;12
2;4;7;8;9;9;9;9;9;2388;1668;5244;60;780;228;600
2;5;8;9;9;9;9;9;9;3492;3276;12924;48;1752;288;1188
3;5;5;6;8;8;9;9;9;1692;1044;1548;36;440;240;328
3;5;6;6;8;8;9;9;9;2370;1614;2274;62;732;308;512
4;4;4;7;8;8;8;9;9;828;504;468;72;72;0;360
3;7;8;8;8;8;9;9;9;8640;8388;13212;558;1584;2106;4140
2;5;6;7;7;8;9;9;9;1296;864;1080;60;484;90;230
3;3;5;5;7;7;9;9;9;236;92;52;16;64;0;12
5;5;6;7;8;9;9;9;9;6360;5172;12324;0;2232;718;2222
3;6;6;6;6;9;9;9;9;1488;624;1968;48;312;24;240
2;4;5;5;6;9;9;9;9;192;48;168;12;24;0;12
3;4;7;8;8;8;9;9;9;3470;2858;4054;206;698;698;1256
2;4;5;7;7;8;8;9;9;396;216;216;30;84;2;100
5;5;6;6;6;8;8;9;9;1224;360;936;72;72;0;216
2;4;6;7;7;8;8;9;9;530;368;280;39;150;1;178
2;6;6;6;7;7;9;9;9;1080;504;360;24;408;0;72
2;4;6;8;9;9;9;9;9;2144;1280;3904;72;636;140;432
2;5;5;7;8;8;9;9;9;1198;820;1124;98;312;169;241
3;3;4;6;7;8;9;9;9;610;106;182;8;52;14;32
3;5;5;8;8;8;8;9;9;2080;1648;944;264;168;16;1200
3;5;5;9;9;9;9;9;9;4800;3072;9888;0;1632;192;1248
3;6;7;8;8;8;9;9;9;6180;5496;8328;282;1464;1350;2400
4;5;5;8;9;9;9;9;9;5280;3984;11568;0;1992;324;1668
2;4;6;7;8;8;8;9;9;792;576;396;90;110;2;374
3;3;8;8;8;9;9;9;9;2448;2016;4464;96;624;432;864
3;3;6;8;9;9;9;9;9;3024;1296;3888;24;552;144;576
2;6;7;9;9;9;9;9;9;3876;3588;13692;144;1992;468;984
2;3;5;7;8;8;9;9;9;699;267;381;18;86;62;101
4;6;7;7;7;9;9;9;9;6396;5532;10020;152;2736;340;2304
5;5;5;7;7;8;9;9;9;3192;2112;3072;36;1008;348;720
3;4;4;5;8;9;9;9;9;576;144;504;0;72;0;72
3;4;4;5;6;7;9;9;9;160;16;56;0;8;0;8
4;4;5;6;7;7;9;9;9;1084;508;356;28;384;8;88
5;5;6;7;7;7;8;9;9;1968;1320;624;24;1080;16;200
2;3;6;6;9;9;9;9;9;816;384;912;36;192;12;144
3;5;5;5;8;8;8;9;9;556;340;308;64;48;4;224
5;5;6;8;8;9;9;9;9;7680;6600;16728;0;2592;1240;2768
2;5;5;5;8;8;8;9;9;280;172;152;40;28;0;104
2;6;7;8;8;9;9;9;9;3396;2964;7404;200;1168;652;944
4;4;4;5;7;8;8;9;9;204;60;156;12;12;0;36
4;6;7;7;7;7;9;9;9;4664;3800;1384;56;3184;40;520
4;5;5;6;6;7;9;9;9;1228;148;500;4;72;4;68
5;5;6;6;8;8;8;9;9;2952;2304;1584;384;384;32;1504
2;7;7;8;8;8;8;9;9;3072;2784;1536;360;360;0;2064
4;7;7;7;7;8;8;9;9;4536;4104;2376;144;1680;48;2232
2;3;4;5;7;8;8;9;9;82;10;26;2;2;0;6
2;3;6;7;7;7;9;9;9;348;240;84;12;192;0;36
4;4;6;7;9;9;9;9;9;4320;3024;8640;0;1464;288;1272
2;3;5;7;7;7;9;9;9;304;160;56;8;128;0;24
4;7;8;8;8;9;9;9;9;12212;11996;36604;276;3020;3984;4716
2;3;4;5;8;8;8;9;9;118;28;26;4;4;0;20
2;7;7;7;7;8;9;9;9;2358;2178;2142;132;1260;180;606
5;9;9;9;9;9;9;9;9;11520;11520;169920;0;5760;5760;0
4;6;7;7;9;9;9;9;9;8640;7776;23328;0;3312;1480;2984
2;5;6;7;7;8;8;9;9;760;544;428;60;224;2;258
2;7;7;7;7;8;8;9;9;1536;1392;768;120;600;0;672
4;5;7;7;9;9;9;9;9;7040;5960;17368;0;2664;968;2328
2;3;5;7;7;8;8;9;9;256;112;104;12;44;0;56
3;4;5;6;7;8;9;9;9;951;429;723;21;206;68;134
4;7;8;8;8;8;9;9;9;12628;12412;19988;552;2128;3192;6540
6;7;7;9;9;9;9;9;9;15840;15768;92232;0;4752;6360;4656
8;8;8;8;8;8;9;9;9;30240;30240;60480;0;0;8640;21600
4;4;5;8;8;8;8;9;9;2080;1648;944;264;168;12;1204
2;3;5;6;8;9;9;9;9;622;190;458;16;86;16;72
2;3;4;6;6;7;8;9;9;59;5;13;1;2;0;2
3;5;6;6;7;8;8;9;9;1060;628;668;63;228;14;323
3;3;5;6;6;7;9;9;9;328;40;104;8;16;0;16
2;7;7;9;9;9;9;9;9;4368;4224;17376;192;2496;624;912
2;5;5;9;9;9;9;9;9;2448;1584;4896;192;912;48;432
2;8;9;9;9;9;9;9;9;5040;5040;33840;0;4320;0;720
3;3;4;5;6;7;8;9;9;58;4;14;0;2;0;2
3;4;4;7;7;8;8;9;9;512;224;208;24;88;0;112
2;6;7;7;9;9;9;9;9;3216;2784;7584;200;1384;392;808
2;3;6;7;8;9;9;9;9;948;462;996;26;184;73;179
6;6;6;6;7;8;8;9;9;3360;2208;2112;96;816;24;1272
2;5;6;7;7;9;9;9;9;1504;964;1952;92;544;36;292
5;6;6;6;6;8;9;9;9;3072;768;2688;0;384;0;384
5;7;7;7;7;7;9;9;9;7152;6576;2064;48;5568;48;912
4;4;5;7;9;9;9;9;9;3280;1984;5792;0;984;128;872
3;4;5;7;7;8;9;9;9;1344;732;996;30;352;128;222
4;4;6;6;7;7;8;9;9;808;376;272;16;288;8;64
4;5;6;6;8;8;9;9;9;3436;2356;3476;28;1064;432;832
2;4;4;5;8;8;8;9;9;128;56;52;16;8;0;32
6;7;8;8;8;9;9;9;9;18360;18252;62748;0;3312;6462;8478
5;5;5;8;8;9;9;9;9;5760;4464;11088;0;1944;576;1944
3;4;8;8;9;9;9;9;9;4752;4032;13248;24;1848;672;1488
2;3;6;7;7;7;8;9;9;174;120;42;6;96;0;18
3;3;7;7;7;8;8;9;9;672;528;336;48;216;0;264
5;5;6;9;9;9;9;9;9;9120;8472;30408;0;4176;1272;3024
3;6;6;6;7;9;9;9;9;2512;1648;3536;88;832;112;616
3;5;5;6;7;7;8;9;9;544;256;176;12;196;6;42
4;4;5;5;7;7;8;9;9;276;132;84;12;96;0;24
3;4;5;8;8;8;8;9;9;1592;1088;640;168;108;8;804
3;8;8;8;8;8;8;9;9;8832;8832;4128;960;384;48;7440
2;4;4;6;6;9;9;9;9;204;60;156;24;24;0;12
4;4;6;7;7;7;8;9;9;1000;676;296;24;548;8;96
5;5;6;6;6;8;9;9;9;2304;576;2016;0;288;0;288
3;3;5;8;8;8;9;9;9;1840;688;1040;48;160;192;288
4;5;6;7;7;9;9;9;9;3928;2848;5900;52;1420;172;1204
2;5;6;6;7;8;8;9;9;536;320;328;48;124;2;146
4;5;5;7;7;7;9;9;9;2008;1360;584;56;1088;20;196
3;4;4;7;7;8;9;9;9;956;380;484;24;184;56;116
4;6;6;6;6;8;8;9;9;1230;366;930;90;72;6;198
2;8;8;8;8;9;9;9;9;5040;5040;14400;360;1800;1296;1584
2;3;8;8;8;8;8;9;9;792;720;360;96;48;0;576
4;5;5;7;7;7;8;9;9;1004;680;292;28;544;10;98
4;4;9;9;9;9;9;9;9;7200;7200;31680;0;4320;480;2400
4;5;6;8;9;9;9;9;9;6760;5680;17648;0;2616;908;2156
6;7;7;8;8;8;9;9;9;17040;16752;26448;0;4128;3468;9156
2;5;8;8;8;8;9;9;9;2988;2556;3924;216;540;648;1152
3;3;5;5;7;7;8;9;9;118;46;26;8;32;0;6
3;4;6;6;6;8;9;9;9;800;224;640;24;104;12;84
5;5;5;5;7;7;8;9;9;552;264;168;24;192;0;48
3;4;5;5;6;8;9;9;9;284;68;220;4;32;4;28
6;6;9;9;9;9;9;9;9;14400;14400;115200;0;5472;6048;2880
2;3;4;8;9;9;9;9;9;1632;192;672;0;96;0;96
4;9;9;9;9;9;9;9;9;10800;10800;125280;0;7200;3600;0
5;5;5;6;6;7;9;9;9;1632;192;672;0;96;0;96
3;5;7;7;8;8;9;9;9;3956;3308;4468;178;1170;684;1276
2;5;6;6;8;9;9;9;9;1444;904;2012;92;472;72;268
3;3;5;5;8;9;9;9;9;612;180;468;36;72;0;72
3;3;5;7;8;8;9;9;9;1398;534;762;36;172;124;202
3;5;7;8;8;9;9;9;9;5260;4396;11156;112;1584;1084;1616
3;6;6;6;7;8;9;9;9;2368;1360;2096;60;736;136;428
4;4;5;5;6;7;9;9;9;408;48;168;0;24;0;24
3;4;8;8;8;9;9;9;9;4320;3780;9180;156;1272;918;1434
3;3;7;8;8;8;9;9;9;2016;1440;2016;108;300;360;672
2;5;7;8;8;8;9;9;9;2540;2108;3076;170;586;480;872
4;5;6;6;8;8;8;9;9;2244;1704;1212;280;280;26;1118
4;4;4;6;9;9;9;9;9;1440;576;2016;0;288;0;288
2;4;4;7;7;8;9;9;9;478;190;242;34;92;28;36
5;7;7;7;7;9;9;9;9;10080;9216;16704;0;4608;384;4224
2;3;6;6;8;8;9;9;9;500;284;364;20;120;52;92
6;7;7;7;8;8;9;9;9;14040;13608;18792;0;4992;2148;6468
3;5;5;5;7;8;8;9;9;412;124;308;36;24;4;60
5;6;6;7;8;8;8;9;9;5540;4892;2884;444;948;68;3432
6;7;8;8;8;8;9;9;9;20040;19896;34104;0;3264;4752;11880
4;6;8;8;8;8;9;9;9;10592;10160;15760;384;2216;2544;5016
3;6;7;7;7;8;9;9;9;3904;3292;3620;134;1816;342;1000
2;4;5;6;9;9;9;9;9;1152;432;1296;60;240;12;120
3;4;4;6;7;8;8;9;9;348;132;156;16;48;0;68
3;5;7;8;8;8;9;9;9;4858;4210;6158;264;1074;1040;1832
4;4;4;6;7;8;8;9;9;378;198;234;24;72;0;102
2;5;6;7;9;9;9;9;9;2254;1606;4226;128;832;174;472
4;5;5;5;8;8;8;9;9;828;504;468;72;72;0;360
3;3;5;5;6;7;8;9;9;82;10;26;2;4;0;4
4;5;5;5;6;7;8;9;9;306;36;126;0;18;0;18
