i1;i2;i3;i4;i5;i6;i7;i8;i9;only l3 correct;only l+3 correct;both correct;only l+3 correct (1);only l+3 correct (2);only l+3 correct (3);only l+3 correct (4)
5;5;6;7;9;9;9;9;9;7280;6200;17128;0;2880;800;2520
3;5;6;7;8;9;9;9;9;3608;2636;6112;74;1128;454;980
4;5;6;6;6;9;9;9;9;1644;672;2244;24;324;24;300
3;4;7;9;9;9;9;9;9;4920;3768;13512;0;1944;372;1452
4;4;6;7;7;7;9;9;9;2000;1352;592;48;1096;16;192
6;6;6;8;8;8;9;9;9;11520;10656;15264;0;3744;1944;4968
2;3;4;6;7;8;9;9;9;305;53;91;4;26;7;16
3;6;6;6;7;8;8;9;9;1382;878;850;84;328;18;448
6;6;7;7;8;8;9;9;9;11760;10896;15024;0;4224;1680;4992
2;6;6;6;6;8;8;9;9;414;126;306;42;30;0;54
4;6;6;6;9;9;9;9;9;5760;4464;11088;0;2304;216;1944
3;4;5;7;8;8;8;9;9;1170;738;558;102;124;8;504
2;5;5;7;7;8;8;9;9;536;320;328;48;124;4;144
4;4;5;7;8;9;9;9;9;2736;1656;4176;16;716;232;692
2;3;4;8;8;8;8;9;9;492;132;84;18;12;0;102
4;5;6;6;7;7;9;9;9;2404;1108;836;28;864;20;196
2;8;8;8;8;8;8;9;9;4440;4440;2040;600;240;0;3600
2;5;5;6;6;7;8;9;9;208;28;80;4;16;0;8
5;5;7;8;8;8;8;9;9;7240;6808;3560;696;768;80;5264
2;5;7;7;8;8;9;9;9;2092;1660;2228;124;632;308;596
5;5;6;6;7;7;8;9;9;1596;732;564;12;576;8;136
4;4;7;7;7;8;8;9;9;1952;1520;1072;120;608;16;776
2;8;8;8;9;9;9;9;9;5040;5040;20880;240;2640;1152;1008
2;5;5;7;7;7;8;9;9;340;232;92;16;188;2;26
2;5;5;5;8;9;9;9;9;576;252;720;36;144;0;72
5;5;5;5;6;7;9;9;9;816;96;336;0;48;0;48
6;7;7;7;7;9;9;9;9;12240;11808;20592;0;5904;432;5472
7;7;7;8;8;8;9;9;9;19800;19800;32040;0;4320;4176;11304
