encodings,"(1, 2, 3)","(1, 1, 1, 4)","(1, 1, 1, 1, 1, 2)","(8,)","(1,)","(1, 1, 1, 1, 3)","(2, 2)","(3,)","(1, 1, 1, 5)","(1, 1, 5)","(1, 1, 2, 2, 2)","(1, 2, 5)","(1, 3)","(1, 1, 2)","(1, 4)","(2, 6)","(5,)","(1, 2, 2)","(3, 3)","(3, 4)","(1, 1, 1, 1, 1, 3)","(6,)","(1, 1, 1, 1, 1)","(1, 1, 1, 2, 2)","(1, 1, 3, 3)","(1, 1, 1)","(2, 3, 3)","(1, 1)","(1, 1, 1, 1)","(2, 2, 2, 2)","(4,)","(1, 2)","(2, 5)","(1, 1, 1, 1, 2, 2)","(1, 1, 1, 1, 1, 1)","(2, 2, 4)","(1, 1, 1, 2, 3)","(1, 6)","(2, 2, 3)","(4, 4)","(1, 1, 1, 1, 1, 1, 2)","(7,)","(1, 7)","(1, 1, 2, 3)","(1, 1, 1, 1, 4)","(1, 3, 4)","(2,)","(1, 2, 2, 3)","(1, 1, 2, 2)","(1, 3, 3)","(1, 1, 6)","(1, 2, 2, 2)","(1, 1, 2, 4)","(1, 5)","(1, 1, 1, 1, 1, 1, 1, 1)","(1, 1, 1, 3)","(1, 1, 1, 1, 2)","(2, 3)","(1, 1, 4)","(3, 5)","(2, 4)","(1, 1, 1, 2)","(1, 1, 3)","(1, 1, 1, 1, 1, 1, 1)","(1, 2, 4)","(2, 2, 2)"
"[0, 0, 2, 2, 2, 4, 5, 6]",78,0,,384,8,,112,84,0,328,,54,188,60,418,144,510,52,228,194,,816,,,0,36,0,30,0,0,232,72,294,,,0,,806,0,64,,826,442,0,,34,26,0,0,68,220,0,0,714,,0,,198,252,96,288,0,136,,88,0
"[0, 0, 2, 2, 2, 4, 5, 7]",80,72,,192,8,,84,75,48,408,,68,179,82,394,108,390,60,120,100,,546,,,0,54,0,32,24,0,196,69,224,,,8,,616,8,32,,476,284,8,,20,24,0,8,40,224,0,8,624,,48,,138,344,48,214,24,184,,104,12
"[0, 0, 2, 2, 2, 4, 6, 6]",102,0,,192,8,,128,69,0,256,,48,177,70,342,96,330,68,276,224,,480,,,0,42,0,32,0,0,168,75,252,,,0,,512,0,64,,448,256,0,,52,24,0,0,104,160,0,0,510,,0,,222,228,108,288,0,144,,100,0
"[0, 0, 2, 2, 2, 4, 6, 7]",108,36,,96,8,,104,60,0,244,,82,164,92,314,120,230,84,138,112,,276,,,0,60,0,34,24,0,136,72,256,,,16,,328,16,32,,224,128,12,,26,22,0,12,52,80,0,12,414,,36,,166,276,54,252,24,176,,136,24
"[0, 0, 2, 2, 2, 5, 5, 5]",72,0,,288,8,,108,84,0,384,,72,192,60,432,144,480,48,216,192,,720,,,0,36,0,30,0,0,228,72,288,,,0,,768,0,96,,672,384,0,,24,26,0,0,48,240,0,0,720,,0,,192,288,72,288,0,144,,96,0
"[0, 0, 2, 2, 2, 5, 5, 6]",102,0,,192,8,,128,69,0,256,,48,177,70,342,96,330,68,276,224,,480,,,0,42,0,32,0,0,168,75,252,,,0,,512,0,64,,448,256,0,,52,24,0,0,104,160,0,0,510,,0,,222,228,108,288,0,144,,100,0
"[0, 0, 2, 2, 2, 5, 5, 7]",85,144,,96,8,,84,63,96,368,,42,167,94,327,48,265,62,150,118,,336,,,0,66,0,34,48,0,148,69,144,,,0,,406,0,32,,266,170,16,,32,22,0,16,64,188,0,16,459,,96,,137,346,54,176,48,204,,90,0
"[0, 0, 2, 2, 2, 5, 6, 6]",132,0,,96,8,,148,54,0,128,,24,162,80,252,48,180,88,336,256,,240,,,0,48,0,34,0,0,108,78,216,,,0,,256,0,32,,224,128,0,,80,22,0,0,160,80,0,0,300,,0,,252,168,144,288,0,144,,104,0
"[0, 0, 2, 2, 2, 5, 6, 7]",120,72,,48,8,,108,48,0,152,,56,148,104,238,60,130,92,168,128,,138,,,0,72,0,36,48,0,92,72,188,,,8,,164,8,16,,112,64,24,,40,20,0,24,80,40,0,24,252,,72,,170,240,72,222,48,184,,128,12
"[0, 0, 2, 2, 3, 3, 3, 3]",0,0,,1920,8,,80,156,0,0,,0,220,0,720,960,1520,0,0,0,,2880,,,0,0,0,20,0,0,560,60,960,,,0,,2400,0,0,,3360,1440,0,,0,36,0,0,0,0,0,0,1680,,0,,160,0,0,480,0,0,,0,0
"[0, 0, 2, 2, 3, 3, 3, 4]",9,0,,1536,8,,88,141,0,96,,18,217,10,667,768,1285,6,54,54,,2376,,,0,6,0,22,0,0,488,63,840,,,0,,2022,0,0,,2730,1194,0,,0,34,0,0,0,60,0,0,1479,,0,,173,66,54,456,0,28,,18,0
"[0, 0, 2, 2, 3, 3, 3, 5]",18,0,,1152,8,,96,126,0,192,,36,214,20,614,576,1050,12,108,108,,1872,,,0,12,0,24,0,0,416,66,720,,,0,,1644,0,0,,2100,948,0,,0,32,0,0,0,120,0,0,1278,,0,,186,132,108,432,0,56,,36,0
