encodings,"(1, 2, 3)","(1, 1, 1, 4)","(1, 1, 1, 1, 1, 2)","(1,)","(1, 1, 1, 1, 3)","(2, 2)","(3,)","(1, 1, 5)","(1, 3)","(1, 1, 2)","(1, 4)","(5,)","(1, 2, 2)","(3, 3)","(3, 4)","(6,)","(1, 1, 1, 1, 1)","(1, 1, 1, 2, 2)","(1, 1, 1)","(1, 1)","(1, 1, 1, 1)","(4,)","(1, 2)","(2, 5)","(1, 1, 1, 1, 1, 1)","(1, 6)","(2, 2, 3)","(7,)","(1, 1, 2, 3)","(2,)","(1, 1, 2, 2)","(1, 3, 3)","(1, 2, 2, 2)","(1, 5)","(1, 1, 1, 3)","(1, 1, 1, 1, 2)","(2, 3)","(1, 1, 4)","(2, 4)","(1, 1, 1, 2)","(1, 1, 3)","(1, 1, 1, 1, 1, 1, 1)","(1, 2, 4)","(2, 2, 2)"
"[0, 0, 1, 3, 3, 4, 5]",12,0,,7,,84,51,16,96,16,144,180,12,120,56,204,,,12,22,0,108,49,48,,92,0,112,0,20,0,8,0,156,0,,120,24,108,0,24,,4,0
"[0, 0, 1, 3, 3, 4, 6]",24,0,,7,,72,42,32,88,32,120,120,24,96,40,120,,,24,24,0,80,48,24,,64,0,56,0,18,0,16,0,120,0,,96,48,72,0,48,,8,0
"[0, 0, 1, 3, 3, 5, 5]",24,0,,7,,72,42,32,88,32,120,120,24,96,40,120,,,24,24,0,80,48,24,,64,0,56,0,18,0,16,0,120,0,,96,48,72,0,48,,8,0
"[0, 0, 1, 3, 3, 5, 6]",32,0,,7,,64,33,16,76,48,98,70,44,48,20,60,,,36,26,0,56,47,32,,32,8,28,0,16,0,8,0,80,0,,74,48,68,0,56,,16,24
"[0, 0, 1, 3, 4, 4, 4]",0,0,,7,,120,45,0,100,0,120,120,0,216,108,144,,,0,22,0,80,55,36,,60,0,84,0,20,0,0,0,96,0,,180,0,144,0,0,,0,0
"[0, 0, 1, 3, 4, 4, 5]",16,0,,7,,112,36,0,88,16,88,80,16,192,88,96,,,12,24,0,56,54,24,,40,0,56,0,18,0,16,0,64,0,,160,0,112,0,16,,0,0
"[0, 0, 1, 3, 4, 4, 6]",36,0,,7,,84,30,16,76,40,72,60,36,120,44,60,,,30,26,0,44,50,12,,32,0,28,0,16,0,32,0,60,0,,108,24,60,0,48,,4,0
"[0, 0, 1, 3, 4, 5, 5]",32,0,,7,,104,27,0,76,32,56,40,32,168,68,48,,,24,26,0,32,53,12,,20,0,28,0,16,0,32,0,32,0,,140,0,80,0,32,,0,0
"[0, 0, 1, 3, 4, 5, 6]",38,0,,7,,80,21,0,60,56,47,25,62,84,34,24,,,42,28,0,24,49,16,,10,16,14,0,14,0,16,0,26,0,,89,12,56,0,44,,6,48
"[0, 0, 2, 2, 2, 2, 2]",0,0,,7,,0,135,0,100,0,300,1020,0,0,0,1440,,,0,10,0,440,25,0,,600,0,840,0,32,0,0,0,600,0,,0,0,0,0,0,,0,0
